id,sessions,bearings,geometry
84_28,EL6W028_2022_05_27__20_13_39,236.4,"POLYGON ((-183650 5816605, -183650 5816685, -183730 5816685, -183730 5816605, -183650 5816605))"
84_29,EL6W028_2022_05_27__20_13_39,236.4,"POLYGON ((-183650 5816685, -183650 5816765, -183730 5816765, -183730 5816685, -183650 5816685))"
84_143,EL6W028_2022_05_19__20_10_41,350.4,"POLYGON ((-183650 5825805, -183650 5825885, -183730 5825885, -183730 5825805, -183650 5825805))"
84_144,EL6W028_2022_05_19__20_10_41,350.4,"POLYGON ((-183650 5825885, -183650 5825965, -183730 5825965, -183730 5825885, -183650 5825885))"
84_145,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,350.4|8.8,"POLYGON ((-183650 5825965, -183650 5826045, -183730 5826045, -183730 5825965, -183650 5825965))"
84_146,EL6W028_2022_05_19__20_10_41,8.8,"POLYGON ((-183650 5826045, -183650 5826125, -183730 5826125, -183730 5826045, -183650 5826045))"
84_147,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,8.8|349.7,"POLYGON ((-183650 5826125, -183650 5826205, -183730 5826205, -183730 5826125, -183650 5826125))"
84_179,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,8.9|43.9,"POLYGON ((-183650 5828685, -183650 5828765, -183730 5828765, -183730 5828685, -183650 5828685))"
84_180,EL6W028_2022_05_19__20_10_41,43.9,"POLYGON ((-183650 5828765, -183650 5828845, -183730 5828845, -183730 5828765, -183650 5828765))"
85_28,EL6W028_2022_05_27__20_13_39|EL6W028_2022_05_27__20_13_39,236.4|210.1,"POLYGON ((-183570 5816605, -183570 5816685, -183650 5816685, -183650 5816605, -183570 5816605))"
85_140,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,350.7|9.8,"POLYGON ((-183570 5825565, -183570 5825645, -183650 5825645, -183650 5825565, -183570 5825565))"
85_141,EL6W028_2022_05_19__20_10_41,9.8,"POLYGON ((-183570 5825645, -183570 5825725, -183650 5825725, -183650 5825645, -183570 5825645))"
85_142,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,9.8|350.4,"POLYGON ((-183570 5825725, -183570 5825805, -183650 5825805, -183650 5825725, -183570 5825725))"
85_143,EL6W028_2022_05_19__20_10_41,350.4,"POLYGON ((-183570 5825805, -183570 5825885, -183650 5825885, -183650 5825805, -183570 5825805))"
85_180,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,43.9|54.7|15.8|0.5,"POLYGON ((-183570 5828765, -183570 5828845, -183650 5828845, -183650 5828765, -183570 5828765))"
